id,strain,indc,conc,concunit,value,valunit,incubhr,incubtemp,device_id,link,promoter
1,E. coli BL21 (DE3),IPTG,0,mM,17000,Fluorescence/OD600,6,18,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
2,E. coli BL21 (DE3),IPTG,0.05,mM,22000,Fluorescence/OD600,6,18,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
3,E. coli BL21 (DE3),IPTG,0.1,mM,23000,Fluorescence/OD600,6,18,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
4,E. coli BL21 (DE3),IPTG,0.5,mM,22500,Fluorescence/OD600,6,18,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
5,E. coli BL21 (DE3),IPTG,0,mM,16000,Fluorescence/OD600,6,25,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
6,E. coli BL21 (DE3),IPTG,0.05,mM,24000,Fluorescence/OD600,6,25,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
7,E. coli BL21 (DE3),IPTG,0.1,mM,25000,Fluorescence/OD600,6,25,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
8,E. coli BL21 (DE3),IPTG,0.5,mM,24500,Fluorescence/OD600,6,25,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
9,E. coli BL21 (DE3),IPTG,0,mM,16000,Fluorescence/OD600,6,37,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
10,E. coli BL21 (DE3),IPTG,0.05,mM,17000,Fluorescence/OD600,6,37,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
11,E. coli BL21 (DE3),IPTG,0.1,mM,20000,Fluorescence/OD600,6,37,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
12,E. coli BL21 (DE3),IPTG,0.5,mM,16000,Fluorescence/OD600,6,37,D0001,https://2019.igem.org/Team:ZJU-China/Measurement,NA
13,E.coli,IPTG,0,uM,0,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0011:Experience,NA
14,E.coli,IPTG,0.1,uM,0,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0012:Experience,NA
15,E.coli,IPTG,1,uM,500,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0013:Experience,NA
16,E.coli,IPTG,10,uM,12000,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0014:Experience,NA
17,E.coli,IPTG,20,uM,20000,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0015:Experience,NA
18,E.coli,IPTG,40,uM,25000,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0016:Experience,NA
19,E.coli,IPTG,60,uM,26000,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0017:Experience,NA
20,E.coli,IPTG,80,uM,27000,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0018:Experience,NA
21,E.coli,IPTG,120,uM,27500,Mean Fluoresence (a.u),12,37,D0001,http://parts.igem.org/Part:BBa_R0019:Experience,NA
